"행정구역별(시군구)",2023,2023,2023
"행정구역별(시군구)",외국인,남자,여자
"부산광역시",63056,34978,28078
"읍부",3059,2086,973
"면부",74,34,40
"동부",59923,32858,27065
"중구",2903,1866,1037
"서구",2859,1634,1225
"동구",2516,1193,1323
"영도구",2877,1819,1058
"부산진구",3292,1291,2001
"동래구",1378,496,882
"남구",8047,4061,3986
"북구",2735,1155,1580
"해운대구",4652,2281,2371
"사하구",5894,3619,2275
"금정구",5505,2148,3357
"강서구",7302,6264,1038
"연제구",1126,439,687
"수영구",1830,831,999
"사상구",7007,3761,3246
"기장군",3133,2120,1013
